ID,Compound name,SMILES,CAS
1,delta-cadinene,C=12[C@@H]([C@@H](CCC1C)C(C)C)C=C(C)CC2,483-76-1
2,gamma-muurolene,CC1=CC2C(CC1)C(=C)CCC2C(C)C,
3,alpha-muurolene,CC1=C[C@@H]2[C@H](CC1)C(=CC[C@H]2C(C)C)C,10208-80-7
4,alpha-selinene,CC(=C)[C@@H]1CC[C@@]2(C)CCC=C(C)[C@@H]2C1,473-13-2
5,beta-caryophylene,CC1=CCCC(=C)C2CC(C2CC1)(C)C,87-44-5
6,alpha-phellandrene,C([C@@H]1CC=C(C)C=C1)(C)C,99-83-2
7,terpinolene,C1(=C(\C)C)\CCC(C)=CC1,586-62-9
8,phytol,CC(C)CCCC(C)CCCC(C)CCCC(=CCO)C,150-86-7
9,sclareol,C[C@@](O)(CC[C@H]1[C@](C)(O)CC[C@H]2C(C)(C)CCC[C@]12C)C=C,515-03-7
10,phytol isomer,CC(C)CCCC(C)CCCC(C)CCCC(C)(C=C)O,
11,cembrene,CC1=CCCC(=CCC=C(C=CC(CC1)C(C)C)C)C,
12,abietol,CC(C)C1=CC2=CCC3C(CCCC3(C2CC1)C)(C)CO,666-84-2
13,isopimara-7;15-diene,CC1(CCCC2(C1CC=C3C2CCC(C3)(C)C=C)C)C,1686-66-4
14,phytane,C([C@@H](CCC[C@@H](CC)C)C)CC[C@@H](CCCC(C)C)C,638-36-8
15,alpha-bisabolol,CC1=CC[C@H](CC1)[C@@](C)(CCC=C(C)C)O,78148-59-1
16,p-cymene,c1(C(C)C)ccc(C)cc1,99-87-6
17,myrcene,C(CC\C=C(\C)C)(C=C)=C,123-35-3
18,menthol,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,2216-51-5
19,(e)-beta-ocimene,CC(=CCC=C(C)C=C)C,13877-91-3
20,eugenol,COC1=C(C=CC(=C1)CC=C)O,97-53-0
21,pulegone,C[C@@H]1CCC(=C(C)C)C(=O)C1,89-82-7
22,geranyl acetate,CC(C)=CCC\C(C)=C\COC(C)=O,105-87-3
23,menthone,C1([C@@H](CC[C@@H](C1)C)C(C)C)=O,89-80-5
24,piperitone,C1([C@@H](CCC(=C1)C)C(C)C)=O,89-81-6
25,methyl eugenol,COc1ccc(cc1OC)CC=C,93-15-2
26,beta-thujone,C1[C@@]2(CC(=O)[C@H]([C@@H]12)C)C(C)C,471-15-8
27,alpha-thujene,CC1=CCC2([C@H]1C2)C(C)C,3917-48-4
