ID,Compound name,SMILES,CAS
101,(e)-beta-farnesene,C(C=C)(CC\C=C(\CC\C=C(\C)C)C)=C,18794-84-8
102,germacrene b,C1(=CCCC(=CC\C(CC1)=C(\C)C)C)C,15423-57-1
103,aromadendrene,C1C[C@@H]([C@@H]2[C@@H]3[C@@H](CCC([C@@H]12)=C)C3(C)C)C,14682-34-9
104,chamazulene,c12c(ccc2C)c(ccc(c1)CC)C,529-05-5
105,allo-aromadendrene,CC1CCC2C1C3C(C3(C)C)CCC2=C,
106,beta-bourbonene,C1C([C@@H]2[C@H]3[C@H](C(C)C)CC[C@@]3([C@H]2C1)C)=C,5208-59-3
107,guaiol,C[C@H]1CC[C@H](CC2=C1CC[C@@H]2C)C(C)(C)O,489-86-1
108,gamma-elemene,CC(=C1CCC(C(C1)C(=C)C)(C)C=C)C,30824-67-0
109,beta-himachalene,C=12[C@@H](C(CCCC1C)(C)C)C=C(C)CC2,1461-03-6
110,humulene epoxide ii,CC1=CCC(C=CCC2(C(O2)CC1)C)(C)C,19888-34-7
111,alpha-gurjunene,C1[C@@H](C)[C@H]2CCC(=C2[C@@H]2[C@@H](C1)C2(C)C)C,489-40-7
112,(z)-beta-farnesene,CC(=CCC/C(=C\CCC(=C)C=C)/C)C,28973-97-9
113,alpha-santalol,C\C(=C\CC[C@]1(C)C2C[C@@H]3[C@H](C2)C13C)\CO,115-71-9
114,(e;e)-alpha-farnesene,CC(=CCCC(=CCC=C(C)C=C)C)C,502-61-4
115,beta-gurjunene,C[C@@H]1CC[C@@H]2[C@@H](C2(C)C)[C@H]3[C@@H]1CCC3=C,73464-47-8
116,isocaryophyllene,C=1(CC[C@@H]2[C@@H](C(CCC1)=C)CC2(C)C)C,118-65-0
117,alpha-cadinene,CC1=CC2C(CC1)C(=CCC2C(C)C)C,24406-05-1
118,carotol,CC(C)[C@H]1CC[C@]2(C)CC=C(C)CC[C@]12O,465-28-1
119,alpha-bergamotene,C(\C)(=C\CC[C@@]1([C@@H]2C(=CC[C@@H]1C2)C)C)C,17699-05-7
120,alpha-guaiene,C12=C([C@@H](CC[C@@H](C(=C)C)C1)C)CC[C@@H]2C,
121,cedrol,C[C@@H]1CC[C@H]2C(C)(C)[C@H]3C[C@@]12CC[C@@]3(C)O,77-53-2
122,beta-copaene,C1C[C@H]([C@@H]2[C@H]3C(CC[C@@H]2[C@@]13C)=C)C(C)C,18252-44-3
123,beta-farnesene,C(C=C)(CC\C=C(\CC\C=C(\C)C)C)=C,
124,alpha-farnesene,C(=C\C/C=C(/C=C)C)(/CC/C=C(\C)C)C,
125,delta-selinene,CC1=C2C=C(CCC2(CCC1)C)C(C)C,
126,beta-santalol,C/C(=C/CC[C@@]1([C@H]2CC[C@H](C2)C1=C)C)/CO,77-42-9
127,ylangene,CC(C)[C@@H]1CC[C@@]2(C)[C@@H]3CC=C(C)[C@H]2[C@H]13,14912-44-8
128,cadalene,c12c(c(ccc1C(C)C)C)ccc(c2)C,483-78-3
129,longifolene,CC1(C)CCC[C@@]2(C)[C@@H]3CC[C@@H]([C@H]13)C2=C,475-20-7
130,ledene,C[C@@H]1CCC2=C(C)CC[C@@H]3[C@H]([C@H]12)C3(C)C,21747-46-6
131,alpha-bisabolene,C1(=CCC(/C(=C/C/C=C(\C)C)C)CC1)C,17627-44-0
132,beta-cadinene,C1[C@@H]2[C@H](C(=CC[C@H]2C(C)C)C)CC=C1C,523-47-7
133,farnesol,C(=C\CC\C(=C\CO)C)(\CC\C=C(\C)C)C,4602-84-0
134,cuparene,c1cc(ccc1C)[C@@]1(CCCC1(C)C)C,16982-00-6
135,alpha-curcumene,c1cc(ccc1C)[C@@H](C)CC\C=C(\C)C,644-30-4
136,(e)-gamma-bisabolene,CC1=CC/C(=C(\C)/CCC=C(C)C)/CC1,
137,(z;e)-alpha-farnesene,CC(=CCC/C(=C/C/C=C(/C)\C=C)/C)C,53585-13-0
138,valerenal,C(\C(=C\[C@H]1C2=C(CC[C@@H]2[C@@H](CC1)C)C)C)=O,4176-16-3
139,(z)-gamma-bisabolene,CC1=CC/C(=C(/C)\CCC=C(C)C)/CC1,13062-00-5
140,humulene,C1(CC=C(CCC=C(CC=C1)C)C)(C)C,6753-98-6
141,beta-farnesene,C(C=C)(CC\C=C(\CC\C=C(\C)C)C)=C,
142,cis-beta-farnesene,CC(=CCC/C(=C\CCC(=C)C=C)/C)C,28973-97-9
143,bisabolol,C1[C@@H]([C@@](CC\C=C(/C)C)(C)O)CC=C(C1)C,515-69-5
144,alloaromadendrene,C1([C@@H]2[C@@H]1CCC([C@@H]1[C@@H]2[C@@H](CC1)C)=C)(C)C,25246-27-9
145,himachalene,C=12[C@@H](C(CCCC1C)(C)C)C=C(C)CC2,
146,gamma-bisabolene,C1(=C(\CC\C=C(\C)C)C)\CCC(C)=CC1,
147,alpha-bisabolol,C1[C@@H]([C@@](CC\C=C(/C)C)(C)O)CC=C(C1)C,
148,bisabolene,C1(=C(\CC\C=C(\C)C)C)\CCC(C)=CC1,495-62-5
149,(z;z)-alpha-farnesene,CC(=CCC/C(=C\C/C=C(/C)\C=C)/C)C,28973-99-1
150,nootkatone,C1C(=O)C=C2CC[C@@H](C[C@@]2([C@@H]1C)C)C(C)=C,91416-23-8
