'CAM (cloranfenicol)' c1cc(ccc1[C@H]([C@@H](CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-] 56-75-7 0  
'2,4 DEP' C1=CC(=C(C=C1Cl)Cl)OCCOP(OCCOC2=C(C=C(C=C2)Cl)Cl)OCCOC3=C(C=C(C=C3)Cl)Cl 94-84-8 0  
Acetoxycycloheximidine CC(=O)C[C@]2(C)C[C@H](C)C(=O)[C@H]([C@H](O)CC1CC(=O)NC(=O)C1)C2  0  
A-Denopterin CC(C1=CN=C2C(=N1)C(=NC(=N2)N)N)N(C)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O 25663-23-4 0  
AL-1965 C1CN(CCC12OCCO2)CCN3CCN(C3=O)C4=CC(=CC(=C4)Cl)Cl 39113-89-8 0  
Ambunol CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)CN(CCO)CCO 2226-97-3 0  
Amedin CN(C)CCOC(=O)C(C1CCCCC1)(C2=CC=CC=C2)O 25520-98-3 0  
'Aminohexan/ Aminohexane' CCC1(CCCCC1CN(C)C)OC(=O)C2=CC=CC=C2 5959-44-4 0  
Aminopterin Nc3nc(N)c2nc(CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)cnc2n3 54-62-6 0  
Asaline C(=O)(OCC)[C@H](NC([C@@H](Cc1ccc(N(CCCl)CCCl)cc1)NC(=O)C)=O)C(C)C 13425-94-0 0  
Asamet CCOC(=O)[C@H](CCSC)NC(=O)[C@H](Cc1ccc(N(CCCl)CCCl)cc1)NC(C)=O  0  
Asazol C[As](=O)(O)[O-].[Na+] 2163-80-6 0  
AT-16 c1cc(\C=N\[C@@H](CO)[C@@H](O)c2ccc([N+]([O-])=O)cc2)ccc1N(CCCl)CCCl 1952-96-1 0  
Azotomycin C(=O)(CC[C@@H](C(=O)O)N)N[C@H](C(=O)N[C@@H](CCC(=O)C=[N+]=[NH-])C(=O)O)CCC(=O)C=[N+]=[NH-] 7644-67-9 0  
Bimolane N1(C(CN(CC1=O)CCN1CC(=O)N(C(C1)=O)CN1CCOCC1)=O)CN1CCOCC1 74550-97-3 0  
Biperiden C1CCN(CC1)CCC(C2CC3CC2C=C3)(C4=CC=CC=C4)O 514-65-8 0  
Bisantrene c1(c2c(cccc2)c(c2c1cccc2)\C=N\NC1=NCCN1)\C=N\NC1=NCCN1 78186-34-2 0  
Bremfol 'CC(C1=CN=C2C(=N1)C(=O)NC(=N2)N)NC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
CC(C1=CN=C2C(=N1)C(=O)NC(=N2)N)NC3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O' 2179-16-0 0  
Brucine O=C7N2c1cc(OC)c(OC)cc1[C@@]64[C@@H]2[C@@H]3[C@@H](OC/C=C5\[C@@H]3C[C@@H]6N(CC4)C5)C7 357-57-3 0  
Bupivacaine O=C(C1N(CCCC1)CCCC)NC2=C(C)C=CC=C2C  0  
Burseran 'COC1=CC(=CC(=C1OC)OC)CC2COCC2CC3=CC4=C(C=C3)OCO4
COC1=CC(=CC(=C1OC)OC)C[C@@H]2COC[C@H]2CC3=CC4=C(C=C3)OCO4'  0  
Butatensin NC(OCC(C)(COC(N)=O)[C@@H](C)CC)=O 64-55-1 0  
Butaverine CCCCOC(=O)CC(C1=CC=CC=C1)N2CCCCC2 55837-14-4 0  
Butotricin CCOC(=O)CNC(=O)CNC(=O)CNC(=O)CCCCSC1=NC=NC2=C1NC=N2 23374-45-0 0  
'Calcio Mefolinas' N1[C@@H]([C@@H](OCC1)c1ccccc1)C.Cl 1707-14-8 0  
Fotretamina P1(=NP(N2CC2)(=NP(N2CC2)(N2CC2)=N1)N1CCOCC1)(N1CC1)N1CC1 37132-72-2 0  
Hexacaine CCCOC1=CC=C(C=C1)C(=O)CCN2CCCCCC2 16689-12-6 0  
'Hexestrol Diphosphate' C(C)[C@@H]([C@@H](CC)c1ccc(cc1)OP(=O)(O)O)c1ccc(cc1)OP(=O)(O)O 24809-02-7 0  
Homocoralyne CCC1=C2C=C(C(=CC2=CC3=[N+]1C=CC4=CC(=C(C=C43)OC)OC)OC)OC  0  
Hydroxizine C1CN(CCN1CCOCCO)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl 68-88-2 0  
Idarubicin C[C@@H]1O[C@H](C[C@H](N)[C@@H]1O)O[C@H]2C[C@@](O)(Cc3c(O)c4C(=O)c5ccccc5C(=O)c4c(O)c23)C(=O)C 58957-92-9 0  
Imipramine CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31 50-49-7 0  
Isopentaquine CC(C)NCCCC(C)NC1=C2C(=CC(=C1)OC)C=CC=N2 529-73-7 0  
Tylophorine C1CC[C@@H]2[N@@]1Cc1c3cc(OC)c(OC)cc3c3cc(OC)c(cc3c1C2)OC 482-20-2 0  
'Zimet 54/79' CC1=CC2=C(C=C1C)NC3C(CN2)COC4=C3C=CC(=C4OC)OC 83114-27-6 0  
Alifedrine C[C@@H]([C@@H](c1ccccc1)O)NCCC(=O)C2CCCCC2 78756-61-3 0  
'Amino Anfol' c1cc(ccc1C(=O)NC(CC(=O)O)C(=O)O)NCc2cnc3c(n2)c(nc(n3)N)N 25312-31-6 0  
Aminotreofol CC(C(C(=O)O)NC(=O)C1=CC=C(C=C1)NCC2=CN=C3C(=N2)C(=NC(=N3)N)N)O 26188-15-8 0  
Amygdalin OC[C@H]1O[C@@H](OC[C@H]2O[C@@H](O[C@@H](C#N)c3ccccc3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O 29883-15-6 0  
Bufumustine CC1(C)O[C@@H]2[C@@H](COC(=O)c3ccc(cc3)[N+](=O)[O-])OC(NC(=O)N(CCCl)N=O)[C@@H]2O1 55102-44-8 0  
Butacaine CCCCN(CCCC)CCCOC(=O)c1ccc(cc1)N 149-16-6 0  
Butocin CCOC(=O)CNC(=O)CNC(=O)CCCCSc2ncnc1/N=C\CNc12  0 'No es este compuesto' 
Carbetapentane CCN(CC)CCOCCOC(=O)C1(CCCC1)C2=CC=CC=C2 77-23-6 0  
Clofencilan C1(c2ccc(Cl)cc2)(CCCCC1)OCCN(CC)CC 5632-52-0 0  
Colchicine COC1=CC=C2C(=CC1=O)[C@H](CCc3cc(OC)c(OC)c(OC)c23)NC(=O)C 64-86-8 0  
'Coralyne Chloride' CC1=C2C=C(C(=CC2=CC3=[N+]1C=CC4=CC(=C(C=C43)OC)OC)OC)OC.[Cl-] 6872-73-7 0  
CRC-7001 C1COCC[N+]21CCN(CC2)[C@@H](c1ccccc1)c1ccc(cc1)Cl.[ClH-].Cl 55981-23-2 0  
Calusterone C[C@H]1CC2=CC(=O)CC[C@@]2([C@@H]3[C@@H]1[C@@H]4CC[C@]([C@]4(CC3)C)(C)O)C 17021-26-0 0  
Captodiamine CCCCSC1=CC=C(C=C1)C(C2=CC=CC=C2)SCCN(C)C 486-17-9 0  
Caramiphen CCN(CC)CCOC(=O)C1(CCCC1)C2=CC=CC=C2 77-22-5 0  
CB-10252 CC1=C(C=CC(=C1)N(CC(C)Br)CC(C)Br)N=NC2=CC=CC=C2C(=O)O 39669-49-3 0  
Chlorasquin c12c(ccc(c1Cl)CNc1ccc(C(N[C@@H](CC(O)=O)C(O)=O)=O)cc1)nc(N)nc2N 18921-73-8 0  
Citostal COC1=CC=C2C(=CC1=O)[C@@H](N)CCc3cc(OC)c(OC)c(OC)c23.OC(C(O)C(=O)O)C(=O)O 27963-65-1 0  
'Cyanocyline A' COC1=C(C)C(=O)C2=C(C(CO)N3C(C#N)C4CC5C6OCCN6C2C3C5N4C)C1=O 82423-05-0 0  Cyanonaphthyridinomycin
Cycrimine C1CCN(CC1)CCC(C2CCCC2)(C3=CC=CC=C3)O 77-39-4 0  
Demecolcine CN[C@H]1CCc2cc(OC)c(OC)c(OC)c2C3=CC=C(OC)C(=O)C=C13 477-30-5 0  
Denopterin CC(c1c[nH]c-2nc(nc(=O)c2n1)N)N(C)c3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O 22006-84-4 0  
Dibucaine CCCCOC1=NC2=CC=CC=C2C(=C1)C(=O)NCCN(CC)CC 85-79-0 0  
Diethylstilbestrol C(=C(\c1ccc(O)cc1)CC)(\c1ccc(O)cc1)CC 56-53-1 0  
Dimezol c12c(cc(C)c(c1)C)nc[nH]2 582-60-5 0  
Diphenhidramine CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2 58-73-1 0  
Disulfamide Cc1cc(c(cc1S(=O)(=O)N)S(=O)(=O)N)Cl 671-88-5 0  
Drostanolone C[C@@H]1C[C@]2([C@@H](CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@@H]4O)C)CC1=O)C 58-19-5 0  
Dyclonine CCCCOC1=CC=C(C=C1)C(=O)CCN2CCCCC2 586-60-7 0  
Estramustine C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@@H]2O)OC(=O)N(CCCl)CCCl 2998-57-4 0  
Euparotin CC=C(C)C(=O)OC1CC2(CO2)C3C(C=C(C3(C4C1C(=C)C(=O)O4)O)C)O 10215-89-1 0  
'Eupochlorin A' C=C1C(=O)OC2C1C(OC(=O)/C(C)=C/C)CC(O)(CCl)C3C(O)/C=C(C)\C23O  0  
Phenophan c1ccc(cc1)c2cc(c3ccccc3n2)C(=O)O 132-60-5 0  
Fenastezin CCOc1ccc(cc1)NC(=O)C 62-44-2 0  
Fluoroquine CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)F 442-96-6 0  
Fluphenazine C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO 69-23-8 0  
Pipenzolate CC[N+]1(CCCC(C1)OC(=O)C(C2=CC=CC=C2)(C3=CC=CC=C3)O)C 13473-38-6 0  
Piperidolate CCN1CCCC(C1)OC(=O)C(C2=CC=CC=C2)C3=CC=CC=C3 82-98-4 0  
Pramoxine CCCCOC1=CC=C(C=C1)OCCCN2CCOCC2 140-65-8 0  
Propiomazine CCC(=O)C1=CC2=C(C=C1)SC3=CC=CC=C3N2CC(C)N(C)C 362-29-8 0  
Quinaspar c12c(cc(CNc3ccc(C(N[C@@H](CC(O)=O)C(O)=O)=O)cc3)cc1)c(nc(n2)N)N 18921-65-8 0  
'Rabdophilin G' C1(C)(C)CC[C@@H]2OC([C@@]34C(C([C@@H](C[C@@H]([C@@H]3[C@@]2(COC(C)=O)[C@@H]1CO)O)C4)=C)=O)=O 82460-75-1 0  
Rotenone c12c3c(O[C@H](C3)C(=C)C)ccc1C(=O)[C@@H]1[C@H](O2)COc2c1cc(c(c2)OC)OC 83-79-4 0  
Rufocromycin Cc1c(c(c(nc1C(=O)O)c2ccc3c(n2)C(=O)C(=C(C3=O)OC)N)N)c4ccc(c(c4O)OC)OC 3930-19-6 0  
Vinervine ￼￼￼￼￼￼C/C=C\1CN2CC[C@]35/C(=C(C(=O)O)\[C@H]1C[C@H]23)Nc4ccccc45  0  'No es el vinervine que aparece en Chebi'
Hisfen C([C@@H](NC(=O)Cc1ccc(cc1)N(CCCl)CCCl)Cc1c[nH]cn1)(=O)OC 2764-56-9 0  
